id,uuid,type,code,published,is_flagged,has_alert,metatag,internal_user,Meilleur prix vente,Quantité meilleur prix vente,Meilleur prix achat,Quantité meilleur prix achat,Capitalisation,Prix clôture,Cours ajusté,field_cours_cloture,Cours courant,Quantité échangée,Volume échangé,field_date_application,Différence,field_dynamic_reference_price,Statut,Plus haut,field_instrument_var_year,field_last_traded_price,field_last_traded_time,field_last_transactions,Plus bas,field_market_id,Ouverture,field_pto,field_ratio_ajustement,field_ratio_consolide,Prix référence,field_symbol,Nombre transactions,field_transact_time,field_var_pto,Variation %,Nom,Symbole,Secteur,redirect_alias
17896996,29a073ae-6c3f-488d-b4e8-368cc5df3e0d,market_watch,PRO-690e0b60086a3,1,[],False,[],[],1449.0000000000,10.0000000000,[],[],1380000000.0000000000,1380.0000000000,1380.0000000000,-,1380.0000000000,1.0000000000,1380.0000000000,2025-11-07T16:00:45,-45.0000000000,1380.0000000000,-,1380.0000000000,-,1380.0000000000,2025-11-07T14:32:37,-,1380.0000000000,59,1380.0000000000,1380.0000000000,1.00,1.00,1425.0000000000,541,1,2025-11-07T16:00:45,-3.1578947368,-3.1578947368,PROMOPHARM S.A.,PRO,Industrie Pharmaceutique,/fr/live-market/instruments/PRO
17896957,37290195-1d42-4748-bf1a-7565160e40d2,market_watch,RDS-690e0b3d082e9,1,[],True,[],[],181.0000000000,16.0000000000,172.6500000000,40.0000000000,4560339900.0000000000,174.0000000000,174.0000000000,-,174.0000000000,72292.0000000000,12695885.1500000000,2025-11-07T16:00:45,-6.0000000000,174.0000000000,-,182.0000000000,-,174.0000000000,2025-11-07T15:40:30,-,172.5000000000,59,180.0000000000,174.0000000000,1.00,1.00,180.0000000000,389,395,2025-11-07T16:00:45,-3.3333333333,-3.3333333333,RESIDENCES DAR SAADA,RDS,Participation et promotion immobilières,/fr/live-market/instruments/RDS
17896997,4f63f640-5684-48a9-b912-4cf9406f57df,market_watch,REB-690e0b60c836c,1,[],False,[],[],114.0000000000,6.0000000000,107.8500000000,2.0000000000,19410160.0000000000,110.0000000000,110.0000000000,-,110.0000000000,61.0000000000,6710.0000000000,2025-11-07T16:00:45,2.1500000000,110.0000000000,-,110.0000000000,-,110.0000000000,2025-11-07T14:31:35,-,110.0000000000,59,110.0000000000,110.0000000000,1.00,1.00,107.8500000000,482,1,2025-11-07T16:00:45,1.9935095039,1.9935095039,REBAB COMPANY,REB,Mines,/fr/live-market/instruments/REB
17896977,14340c4b-1c08-4705-a7d9-e9e26aa1312a,market_watch,RIS-690e0b4f52fc5,1,[],False,[],[],419.9000000000,95.0000000000,390.4000000000,26.0000000000,6015885045.3000000000,419.9000000000,419.9000000000,-,419.9000000000,4232.0000000000,1770606.5000000000,2025-11-07T16:00:45,29.8500000000,419.9000000000,-,419.9000000000,-,419.9000000000,2025-11-07T15:31:33,-,390.2000000000,59,390.5000000000,419.9000000000,1.00,1.00,390.0500000000,515,12,2025-11-07T16:00:45,7.6528650173,7.6528650173,RISMA,RIS,Loisirs et Hôtels,/fr/live-market/instruments/RIS
17896978,2d387de2-3471-449e-a9ec-3de497a081d8,market_watch,S2M-690e0b503582c,1,[],False,[],[],610.0000000000,436.0000000000,599.1000000000,10.0000000000,495362700.0000000000,610.0000000000,610.0000000000,-,610.0000000000,521.0000000000,324008.2000000000,2025-11-07T16:00:45,-15.0000000000,610.0000000000,-,629.0000000000,-,610.0000000000,2025-11-07T15:36:35,-,610.0000000000,59,628.9000000000,[],1.00,1.00,625.0000000000,386,20,2025-11-07T16:00:45,[],-2.4000000000,S.M MONETIQUE,S2M,"Matériels, Logiciels et Services Informatiques",/fr/live-market/instruments/S2M
17896979,c088a595-542a-4b5a-9928-96a5108bd2b9,market_watch,SAH-690e0b510de06,1,[],False,[],[],1999.0000000000,2.0000000000,1922.0000000000,2.0000000000,8233748000.0000000000,2000.0000000000,2000.0000000000,-,2000.0000000000,3.0000000000,6000.0000000000,2025-11-07T16:00:45,0.0000000000,2000.0000000000,-,2000.0000000000,-,2000.0000000000,2025-11-07T09:31:10,-,2000.0000000000,59,2000.0000000000,[],1.00,1.00,2000.0000000000,382,1,2025-11-07T16:00:45,[],0.0000000000,SANLAM MAROC,SAH,Assurances,/fr/live-market/instruments/SAH
17865918,1707e5ad-0195-41c1-a694-1ae65cfd7eb8,market_watch,SAM-690da917eee26,1,[],False,[],[],[],[],[],[],1520777187.0000000000,[],127.8000000000,-,127.8000000000,[],[],2025-11-07T08:10:00,0.0000000000,127.8000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,127.8000000000,492,[],2025-11-07T08:10:00,[],0.0000000000,SAMIR,SAM,Pétrole et Gaz,/fr/live-market/instruments/SAM
17896998,16a3799d-1066-4623-9b74-4f57fb80384a,market_watch,SBM-690e0b61b272f,1,[],False,[],[],2299.0000000000,354.0000000000,2202.0000000000,27.0000000000,6502542594.0000000000,2298.0000000000,2298.0000000000,-,2298.0000000000,[],[],2025-11-07T16:00:45,0.0000000000,2298.0000000000,-,[],-,[],[],-,[],59,[],[],1.00,1.00,2298.0000000000,409,[],2025-11-07T16:00:45,[],0.0000000000,SOCIETE DES BOISSONS DU MAROC,SBM,Boissons,/fr/live-market/instruments/SBM
17896980,ed259c8c-c26c-4d2e-892f-dce43643345f,market_watch,SID-690e0b52253cc,1,[],True,[],[],2498.0000000000,1.0000000000,2430.0000000000,5.0000000000,9508200000.0000000000,2438.0000000000,2438.0000000000,-,2438.0000000000,117.0000000000,285610.0000000000,2025-11-07T16:00:45,-62.0000000000,2438.0000000000,-,2500.0000000000,-,2438.0000000000,2025-11-07T15:30:38,-,2437.0000000000,59,2437.0000000000,2438.0000000000,1.00,1.00,2500.0000000000,394,11,2025-11-07T16:00:45,-2.4800000000,-2.4800000000,SONASID,SID,Bâtiment et Matériaux de Construction,/fr/live-market/instruments/SID
17896981,9bd17004-ea57-4676-8109-2897e36a99f6,market_watch,SLF-690e0b52f27b4,1,[],False,[],[],623.0000000000,18.0000000000,571.2000000000,40.0000000000,1796368425.0000000000,575.0000000000,575.0000000000,-,575.0000000000,1949.0000000000,1120675.0000000000,2025-11-07T16:00:45,-24.0000000000,575.0000000000,-,575.0000000000,-,575.0000000000,2025-11-07T14:32:38,-,575.0000000000,59,575.0000000000,575.0000000000,1.00,1.00,599.0000000000,369,1,2025-11-07T16:00:45,-4.0066777963,-4.0066777963,SALAFIN,SLF,Sociétés de financement et Autres Activités Financières,/fr/live-market/instruments/SLF
17896999,bcebc15e-54c9-4d88-ad8e-019930d85e59,market_watch,SMI-690e0b629fc43,1,[],False,[],[],2600.0000000000,6.0000000000,2561.0000000000,2.0000000000,4213075490.0000000000,2561.0000000000,2561.0000000000,-,2561.0000000000,145.0000000000,376947.0000000000,2025-11-07T16:00:45,-38.0000000000,2561.0000000000,-,2648.0000000000,-,2561.0000000000,2025-11-07T15:31:30,-,2561.0000000000,59,2600.0000000000,2561.0000000000,1.00,1.00,2599.0000000000,398,14,2025-11-07T16:00:45,-1.4621008080,-1.4621008080,SMI,SMI,Mines,/fr/live-market/instruments/SMI
17896982,99b2d1d2-a93f-4a8e-aa4e-bdbcd01b7268,market_watch,SNA-690e0b541ae8f,1,[],True,[],[],126.0000000000,335.0000000000,123.5000000000,50.0000000000,2187120540.0000000000,123.6000000000,123.6000000000,-,123.6000000000,10552.0000000000,1306969.6500000000,2025-11-07T16:00:45,0.0500000000,123.6000000000,-,125.9500000000,-,123.6000000000,2025-11-07T15:35:30,-,123.0000000000,59,125.9000000000,123.6000000000,1.00,1.00,123.5500000000,366,118,2025-11-07T16:00:45,0.0404694456,0.0404694456,STOKVIS NORD AFRIQUE,SNA,Distributeurs,/fr/live-market/instruments/SNA
17896983,bbdc835b-b150-43b8-bdc2-c32515afddc9,market_watch,SNP-690e0b551c7dc,1,[],False,[],[],553.0000000000,29.0000000000,530.2000000000,40.0000000000,1296000000.0000000000,540.0000000000,540.0000000000,-,540.0000000000,202.0000000000,108374.6000000000,2025-11-07T16:00:45,0.0000000000,540.0000000000,-,540.0000000000,-,540.0000000000,2025-11-07T14:38:26,-,530.0000000000,59,538.0000000000,[],1.00,1.00,540.0000000000,367,19,2025-11-07T16:00:45,[],0.0000000000,SNEP,SNP,Chimie,/fr/live-market/instruments/SNP
